kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,elapsed_cycles_sm,2607114372,2607114372,2607114372
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_00,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_01,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_02,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_03,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_04,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_05,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_06,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,prof_trigger_07,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,warps_launched,2,2,2
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,inst_issued0,63602816,63602816,63602816
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,inst_issued1,2001250,2001250,2001250
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,inst_executed,2001218,2001218,2001218
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,thread_inst_executed,8927256,8927256,8927256
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,not_predicated_off_thread_inst_executed,8906685,8906685,8906685
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,active_cycles,32810359,32810359,32810359
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,active_warps,197145716,197145716,197145716
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_atom,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,sm_cta_launched,1,1,1
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_atom_cas,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_load,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_store,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,generic_load,189427,189427,189427
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,generic_store,21261,21261,21261
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,global_load,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,global_store,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,local_load,466,466,466
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,local_store,464,464,464
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,atom_count,8,8,8
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,gred_count,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_ld_transactions,82,82,82
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_st_transactions,142,142,142
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_ld_bank_conflict,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,shared_st_bank_conflict,0,0,0
