kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_read_sysmem_sector_queries,1677,15454,6837
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_read_sysmem_sector_queries,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_write_sysmem_sector_queries,1,5,2
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_write_sysmem_sector_queries,0,4,2
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,elapsed_cycles_sm,45610804,672534382,243689375
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_00,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_01,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_02,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_03,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_04,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_05,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_06,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,prof_trigger_07,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,warps_launched,4,4,4
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,inst_issued0,2053069,18738126,8232333
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,inst_issued1,124112,1144827,499538
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,inst_executed,124104,3386855,1231852
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,thread_inst_executed,16739092,39492968,22181627
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,not_predicated_off_thread_inst_executed,16171604,38289678,21474713
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,active_cycles,561803,10351554,3282873
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,active_warps,6020108,40949358,19064695
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_atom,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,sm_cta_launched,1,1,1
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_atom_cas,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_load,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_store,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,generic_load,10068,100000,43497
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,generic_store,3325,22957,10292
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,global_load,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,global_store,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,local_load,380,380,380
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,local_store,380,380,380
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,atom_count,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,gred_count,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_ld_transactions,8,8,8
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_st_transactions,9,10,9
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_ld_bank_conflict,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,shared_st_bank_conflict,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,global_atom_cas,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,active_cycles_pm,553134,5034200,2234073
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,active_warps_pm,2177256,19883028,8731946
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,elapsed_cycles_pm,44877908,403812320,179477241
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,inst_executed_fp16_pipe_s0,0,0,0
